Date,M1,M2,M3,M4,M5,M6,M7,days_to_expiration
2004-03-26,20.54,20.32,20.16,20.138,20.11,20.36,20.62,16
2004-03-29,19.842,19.8,19.77,19.731,19.68,20.075,20.482,15
2004-03-30,19.381,19.62,19.79,19.842,19.91,20.246,20.594,14
2004-03-31,19.61,19.75,19.85,19.98,20.15,20.431,20.722,13
2004-04-01,19.634,19.62,19.61,19.867,20.2,20.493,20.796,12
2004-04-02,18.508,18.89,19.16,19.549,20.05,20.337,20.634,11
2004-04-05,18.404,18.53,18.62,19.215,19.97,20.294,20.629,10
2004-04-06,18.79,18.79,18.79,19.447,20.28,20.545,20.821,9
2004-04-07,19.048,19.09,19.12,19.746,20.54,20.851,21.174,8
2004-04-08,19.119,19.05,19.0,19.666,20.51,20.787,21.075,7
2004-04-12,18.346,18.67,18.9,19.535,20.34,20.636,20.943,6
2004-04-13,19.314,19.3,19.29,19.929,20.74,21.023,21.318,5
2004-04-14,19.446,19.46,19.47,19.819,20.27,20.671,21.084,4
2004-04-15,19.182,19.35,19.47,19.89,20.43,20.806,21.194,3
2004-04-16,18.386,19.0,19.43,19.793,20.26,20.673,21.099,2
2004-04-19,17.684,18.87,19.68,19.981,20.37,20.761,21.165,1
2004-04-20,17.965,19.15,19.96,20.204,20.52,20.933,21.359,0
2004-04-21,18.68,19.7,19.926,20.22,20.633,21.059,21.58,19
2004-04-22,17.35,18.77,19.164,19.67,20.105,20.553,21.1,18
2004-04-23,17.34,19.09,19.404,19.81,20.239,20.681,21.22,17
2004-04-26,17.13,18.96,19.332,19.81,20.233,20.668,21.2,16
2004-04-27,16.8,18.77,19.222,19.8,20.226,20.664,21.2,15
2004-04-28,17.37,19.27,19.704,20.26,20.562,20.875,21.26,14
2004-04-29,17.77,19.64,20.096,20.68,20.89,21.109,21.38,13
2004-04-30,18.22,19.85,20.323,20.93,21.077,21.23,21.42,12
2004-05-03,17.69,19.27,19.86,20.61,20.766,20.928,21.13,11
2004-05-04,17.31,19.2,19.749,20.45,20.654,20.867,21.13,10
2004-05-05,16.62,18.79,19.438,20.26,20.467,20.683,20.95,9
2004-05-06,17.48,19.41,19.968,20.68,20.845,21.017,21.23,8
2004-05-07,18.31,19.87,20.45,21.19,21.25,21.312,21.39,7
2004-05-10,19.35,20.43,20.952,21.62,21.647,21.675,21.71,6
2004-05-11,18.38,19.97,20.448,21.06,21.177,21.299,21.45,5
2004-05-12,18.2,19.61,20.213,20.98,21.052,21.127,21.22,4
2004-05-13,18.38,19.58,19.951,20.43,20.637,20.853,21.12,3
2004-05-14,18.55,19.67,20.059,20.56,20.737,20.922,21.15,2
2004-05-17,19.37,20.21,20.577,21.05,21.122,21.197,21.29,1
2004-05-18,19.25,20.07,20.494,21.04,21.103,21.168,21.25,0
2004-05-19,19.17,19.845,20.7,20.835,20.975,21.15,21.316,17
2004-05-20,19.34,19.925,20.67,20.793,20.921,21.08,21.232,16
2004-05-21,19.17,19.917,20.86,20.932,21.007,21.1,21.189,15
2004-05-24,18.77,19.04,20.53,20.671,20.818,21.0,21.174,14
2004-05-25,17.5,18.0,19.8,20.05,20.31,20.63,20.933,13
2004-05-26,17.61,18.09,19.86,20.104,20.357,20.67,20.966,12
2004-05-27,17.35,17.9,19.73,20.035,20.351,20.74,21.106,11
2004-05-28,17.58,18.06,19.68,20.004,20.339,20.75,21.137,10
2004-06-01,17.6,18.16,19.74,20.051,20.374,20.77,21.143,9
2004-06-02,17.65,18.1,19.59,19.917,20.255,20.67,21.061,8
2004-06-03,17.6,18.33,19.92,20.167,20.424,20.74,21.039,7
2004-06-04,17.28,18.51,19.99,20.249,20.518,20.85,21.163,6
2004-06-07,16.58,18.07,19.55,19.874,20.209,20.62,21.007,5
2004-06-08,16.18,17.73,19.42,19.744,20.079,20.49,20.877,4
2004-06-09,16.2,17.86,19.71,19.994,20.288,20.65,20.992,3
2004-06-10,15.71,17.57,19.75,20.015,20.291,20.63,20.95,2
2004-06-14,15.71,17.57,19.75,20.015,20.291,20.63,20.95,1
2004-06-15,15.03,17.23,19.82,20.07,20.33,20.65,20.953,0
2004-06-16,17.1,19.22,19.473,19.736,20.06,20.366,20.593,23
2004-06-17,17.14,19.17,19.432,19.705,20.04,20.357,20.591,22
2004-06-18,17.0,19.18,19.439,19.709,20.04,20.353,20.585,21
2004-06-21,17.26,19.12,19.416,19.723,20.1,20.081,20.066,20
2004-06-22,16.77,18.68,19.01,19.352,19.77,19.863,19.933,19
2004-06-23,15.79,17.87,18.256,18.654,19.14,19.245,19.323,18
2004-06-24,16.02,18.25,18.593,18.947,19.38,19.493,19.577,17
2004-06-25,16.23,18.36,18.755,19.163,19.66,19.687,19.707,16
2004-06-28,16.37,18.46,18.893,19.338,19.88,19.919,19.948,15
2004-06-29,15.98,18.32,18.775,19.242,19.81,19.911,19.986,14
2004-06-30,15.38,18.14,18.629,19.131,19.74,19.814,19.869,13
2004-07-01,15.67,18.28,18.82,19.372,20.04,20.048,20.054,12
2004-07-02,15.56,18.27,18.813,19.368,20.04,20.071,20.094,11
2004-07-06,16.22,18.72,19.159,19.61,20.16,20.234,20.289,10
2004-07-07,15.67,18.44,18.913,19.399,19.99,20.095,20.173,9
2004-07-08,15.94,18.82,19.228,19.647,20.16,20.245,20.309,8
2004-07-09,15.74,19.03,19.413,19.807,20.29,20.333,20.365,7
2004-07-12,15.09,19.03,19.434,19.851,20.36,20.426,20.475,6
2004-07-13,14.31,18.79,19.251,19.724,20.3,20.37,20.422,5
2004-07-14,18.74,19.248,19.768,20.4,20.439,20.468,20.5,4
2004-07-15,18.83,19.241,19.664,20.18,20.308,20.404,20.51,3
2004-07-16,18.95,19.389,19.84,20.39,20.475,20.539,20.61,2
2004-07-19,18.98,19.91,20.206,20.57,20.652,20.712,20.78,1
2004-07-20,18.46,19.61,19.906,20.27,20.434,20.555,20.69,0
2004-07-21,19.14,20.58,20.616,20.66,20.808,20.918,21.04,19
2004-07-22,18.42,20.24,20.329,20.44,20.639,20.787,20.95,18
2004-07-23,18.39,20.59,20.733,20.91,21.007,21.08,21.16,17
2004-07-26,18.55,20.66,20.825,21.03,21.201,21.329,21.47,16
2004-07-27,17.88,20.25,20.483,20.77,20.949,21.083,21.23,15
2004-07-28,17.5,20.05,20.269,20.54,20.933,21.223,21.54,14
2004-07-29,16.86,20.06,20.297,20.59,21.027,21.348,21.7,13
2004-07-30,16.68,20.06,20.257,20.5,20.945,21.272,21.63,12
2004-08-02,16.41,19.78,20.049,20.38,20.817,21.138,21.49,11
2004-08-03,16.58,19.72,20.102,20.57,20.975,21.273,21.6,10
2004-08-04,16.73,19.48,20.004,20.64,21.037,21.329,21.65,9
2004-08-05,17.61,19.91,20.498,21.21,21.397,21.536,21.69,8
2004-08-06,18.37,20.34,20.859,21.49,21.669,21.803,21.95,7
2004-08-09,18.0,19.91,20.47,21.15,21.42,21.62,21.84,6
2004-08-10,17.43,19.17,19.846,20.66,21.029,21.301,21.6,5
2004-08-11,17.49,19.35,19.961,20.7,21.045,21.3,21.58,4
